Text,Language
"30 Propeta siya; aram niya an panuga nin Dios na an sarong gikan saiya matukaw sa saiyang trono:  31 Nahiling ni David an gigibohon nin Dios, kaya ipinahayag niya an pagkabuhay liwat kan Cristo, kan sabihon niyang, ‘Dai siya pinabayaan sa kinaban kan mga gadan; dai nalapa an saiyang hawak sa lulubngan.’",Bikol
32 Huli ta binuhay liwat nin Dios si Jesus; mga saksi kami kaini.,Bikol
33 Initaas siya sa too nin Dios; inako niya sa Ama an Espiritu Santo na ipinanuga saiya.,Bikol
Hale saiya ini gabos na nahihiling saka nadadangog nindo ngunyan.,Bikol
"34 Huli ta dai nagsakat sa langit si David kundi nagsabi siya, ‘An Kagurangnan nagsabi sa sakong Kagurangnan: Tumukaw ka digdi sa too ko,  35 sagkod na an saimong mga kaiwal gibohon kong tungtongan kan saimong mga bitis.’",Bikol
36 ”Dapat maaraman kan gabos na taga Israel na ining Jesus na ipinako nindo sa krus ginibo nin Dios na Kagurangnan asin Cristo!”,Bikol
"37 Kan madangog ini kan mga tawo, napurisaw sinda nin marahay, kaya hinapot ninda si Pedro saka an ibang mga apostol, “Mga tugang, ano an dapat ming gibohon?”",Bikol
"38 Sinimbag sinda ni Pedro, “Magbakle kamo saka magpabunyag an lambang saro saindo sa ngaran ni Jesu-Cristo, tanganing patawadon kamo; dangan aakoon nindo an Espiritu Santo.",Bikol
"39 Huli ta para saindo an panugang ini nin Dios, saka sa mga aki nindo asin para sa mga nasa harayo—sa gabos na inaapod kan Kagurangnan tang Dios.”",Bikol
"40 Sinadol sinda ni Pedro saka hinulitan, “Ligtasan nindo an saindong sadiri sa maraot na henerasyon na ini!”",Bikol
41 An mga nag-ako kan saiyang tataramon binunyagan.,Bikol
Kan aldaw na idto mga tolong ribo katawo an nakadagdag sa mga paratubod.,Bikol
"42 Maimbod sinda sa pag-adal kan mga katukdoan kan mga apostol; nakisumaro sinda sa pagtiripon, sa pagbaak kan tinapay asin sa pagpamibi.",Bikol
43 Napangalas an gabos huli kan dakul na milagro saka mga ngangalasan na ginibo sa paagi kan mga apostol.,Bikol
"44 An mga nagtutubod nagkasararo, asin pinagsaro ninda an saindang pagsadiri.",Bikol
45 Ipinabakal ninda an saindang pagsadiri asin kagamitan saka pinaghiriras an kabaklan sosog sa pangangaipo kan lambang saro.,Bikol
46 Aroaldaw nasa Templo sinda.,Bikol
"Sararo sinda sa pagbaak kan tinapay sa mga erokan ninda, nagkakarakan na may kaogmahan asin kapakumbabaan sa puso.",Bikol
47 Nag-oomaw sinda sa Dios; marahay an boot sainda kan gabos na tawo.,Bikol
Aroaldaw idinadagdag sainda an mga ilinigtas kan Kagurangnan.,Bikol
"1 Sarong aldaw, nagduman sa Templo si Pedro asin si Juan.",Bikol
Alas tres nin hapon kaidto asin oras nin pamibi.,Bikol
"2 Duman sa pinag-aapod na “Magayon na Trangkahan,” igwa nin sarong lalaking lupog poon pagkamundag niya.",Bikol
"Aroaldaw dinadara siya sa trangkahan, tanganing makilimos sa mga tawong naglalaog sa Templo.",Bikol
"3 Kan mahiling niya si Pedro asin si Juan na palaog sa Templo, nakilimos siya sainda.",Bikol
"4 Hiniling ninda siya, dangan sinabihan siya ni Pedro, “Hiling samo!”",Bikol
"5 Kaya naghiling siya sainda, naglalaom na lilimosan siya.",Bikol
"6 Alagad sinabihan siya ni Pedro, “Mayo akong plata o bulawan, alagad an yaon sako itatao ko saimo: sa ngaran ni Jesu-Cristo na taga Nazaret, lumakaw ka!”",Bikol
7 Dangan kinabit ni Pedro sa toong kamot an lupog asin tinabangan na makatindog.,Bikol
Kuminosog an mga bitis saka mga buko-buko kan lalaki.,Bikol
"8 Palukso siyang nagtindog, naglakaw, naglaog sa Templo kaiba ninda, saka nag-omaw sa Dios.",Bikol
"9 Nahiling kan gabos na siya naglalakaw na asin nag-oomaw sa Dios;  10 kan mamidbidan ninda na siya idtong makilimos na dating nagtukaw sa “Magayon na Trangkahan” kan Templo, napangalas sinda gabos sa nangyari saiya.",Bikol
"11 Mantang nakakapot an lalaki ki Pedro saka ki Juan duman sa “Balkon ni Solomon,” nagdalagan pasiring sainda an mga tawo na nagngangalas sa nangyari.",Bikol
"12 Pagkahiling ni Pedro kan mga tawo, nagsabi siya, “Mga Israelita, tadaw ta nagngangalas kamo kaini?",Bikol
Tadaw ta pinagpaparahiling nindo kami?,Bikol
Naghohona kamo na napalakaw mi an lalaking ini huli sa sadiri ming kapangyarihan o kabanalan?,Bikol
"13 An Dios ni Abraham, ni Isaac asin ni Jacob, an Dios kan satong mga ginikanan iyo an nagpamuraway sa saiyang Sorogoon na si Jesus, na saindong itinao saka pinagnegaran sa atubangan ni Pilato, kan boot siyang patalingkasan kaini.",Bikol
"14 Banal siya saka matanos, alagad isinikwal nindo siya; hinagad pa nindo ki Pilato na talingkasan an sarong paragadan,  15 asin ginadan nindo an Ginigikanan nin buhay.",Bikol
Alagad binuhay siya liwat nin Dios asin mga saksi kami kaini.,Bikol
16 An kapangyarihan kan ngaran ni Jesus an nagtao nin kosog sa tawong lupog na ini na saindong nahihiling saka dati na nindong midbid.,Bikol
"An pagtubod niya ki Jesus an nagbolong saiya, siring kan saindong nasaksihan.",Bikol
"17 ”Ngunyan, mga tugang, aram kong dai nindo nasabotan an ginibo nindo ki Jesus, siring kan mga lider nindo.",Bikol
"18 Huli sa ginibo nindong ini ki Jesus, naotob an itinaram kaidto nin Dios sa paagi kan mga propeta, na an Cristo kaipuhan magsakit.",Bikol
"19 Kaya magbakle kamo asin magbalik sa Dios, tanganing patawadon niya an saindong mga kasalan, saka tawan kamo kan Kagurangnan nin kosog na espiritwal,  20 dangan sugoon niya si Jesu-Cristo na pinili niya para saindo.",Bikol
"21 Dapat siyang magdanay sa langit sagkod na umabot an panahon na bagohon an gabos na bagay, siring sa sinabi nin Dios sa paagi kan saiyang mga banal na propeta kaidtong panahon.",Bikol
"22 Nagsabi si Moises, ‘An Kagurangnan Dios masugo nin sarong propeta na magikan saindo, arog kan pagsugo niya sako.",Bikol
Dangogon nindo an gabos na sasabihon niya saindo.,Bikol
"23 Huli ta an siisay man na dai magdangog sa propetang iyan, isisiblag sa banwaan nin Dios asin gagadanon.’",Bikol
"24 An gabos na propeta poon ki Samuel sagkod an nagsurunod saiya, nagtaram man dapit kan mga aldaw na ini.",Bikol
"25 Para saindo an panuga nin Dios na sinabi niya sa paagi kan mga propeta, asin man kan tipan na ginibo niya sa saindong mga ginikanan kan magsabi siya ki Abraham, ‘Huli sa saimong kapagarakian, bebendisyonan an gabos na nasyon.’",Bikol
"26 Kaya pinili nin Dios an saiyang Sorogoon; kamo an enot na pinadumanan saiya, tanganing bendisyonan dangan tabangan kamong tumalikod sa karatan.”",Bikol
"1 Nagtataram pa sa mga tawo si Pedro asin si Juan, kan mag-abot an nagkapirang padi, an kapitan kan mga bantay sa Templo, saka an mga Saduceo.",Bikol
"2 Naanggot sinda sa duwang apostol ta nagtutukdo sinda sa mga tawo na si Jesus nabuhay liwat, na nagpatotoo na an gadan mabubuhay liwat.",Bikol
"3 Kaya dinakop ninda an duwa; huli ta banggi na, ilinaog ngona sinda sa bilanggoan sagkod pagkaaga.",Bikol
4 Alagad dakul sa mga nagdangog kan mensahe an nagturubod asin uminabot sa limang ribo an bilang kan mga lalaki.,Bikol
"5 Sunod na aldaw, nagtiripon sa Jerusalem an mga lider na Judio, an mga kamagurangan saka an mga paratukdo kan Katogonan.",Bikol
"6 Kaiba ninda si Anas, an Halangkaw na Padi, si Caifas, si Juan asin si Alejandro patin an ibang kaayon sa pamilya kan Halangkaw na Padi.",Bikol
"7 Pinaatubang ninda sainda an mga apostol saka hinapot, “Kiisay na kapangyarihan o kiisay na ngaran an ginagamit nindo sa paggibo kaini?”",Bikol
"8 Pano nin Espiritu Santo, nagsimbag sainda si Pedro, “Mga lider asin kamagurangan:  9 kun hinahapot nindo kami ngunyan manongod sa karahayan na ginibo sa lalaking lupog saka kun paano siya narahay,  10 dapat maaraman nindo gabos, asin kan gabos na taga Israel, na an lalaking ini na nakatindog sa atubangan nindo, narahay huli sa kapangyarihan kan ngaran ni Jesu-Cristo na taga Nazaret, na ipinako nindo sa krus alagad binuhay liwat nin Dios.",Bikol
"11 Si Jesus an pinagsasabi sa kasuratan, ‘An gapong isinikwal nindo na mga paratugdok, iyo an nagin patugmadan na gapo.’",Bikol
12 An kaligtasan makukua sana ki Jesu-Cristo; mayo na nin ibang ngaran na itinao an Dios sa bilog na kinaban na makakaligtas sato.”,Bikol
"13 Napangalas an mga kaayon kan Konseho kan mahiling an kaisogan ni Pedro saka ni Juan, orog na kan maaraman nindang mga ordinaryong tawo sana sinda asin mayo nin inadalan.",Bikol
Naaraman ninda na an mga ini nagin kairiba ni Jesus.,Bikol
14 Alagad mayo sinda nin ikinasimbag dahel ta nahiling ninda an lalaking narahay na nagtitindog kataed ni Pedro saka ni Juan.,Bikol
15 Kaya pinaluwas ngona kan Konseho an mga apostol dangan nag-orolay sinda.,Bikol
16 ”Ano an gigibohon ta sa mga tawong ini?,Bikol
An gabos na tawo sa Jerusalem nakakaaram na huli sainda nagibo an ngangalasan na ini; dai ta iyan manenegaran.,Bikol
"17 Alagad nganing dai na makalakop sa mga tawo an bagay na ini, patanidan ta sinda na dai na nanggad magtaram sa kiisay man sa ngaran ni Jesus.”",Bikol
18 Kaya inapod giraray an mga apostol dangan pinatanidan na dai na nanggad sinda magtukdo ni magtaram sa ngaran ni Jesus.,Bikol
"19 Alagad sinimbag sinda ni Pedro saka ni Juan, “Kamo an maghukom kun arin an tama sa atubang nin Dios: an pagkuyog saindo o an pagkuyog sa Dios?",Bikol
20 Huli ta dai pwedeng dai nyamo ipahayag an mga nahiling mi mismo saka nadangog.”,Bikol
21 Orog na pinatakot sinda kan Konseho dangan pinahale.,Bikol
"Dai sinda nin nakuang paagi na padusahan sinda, huli ta an gabos na tawo nag-oomaw sa Dios dahel sa nangyari.",Bikol
22 Labi nang kwarentang taon an edad kan lalaking binolong.,Bikol
"23 Pakapahalea ki Pedro asin ki Juan, nagbalik sinda sa mga kairiba ninda asin inosip an sinabi sainda kan mga poon na padi saka kan kamagurangan.",Bikol
"24 Kan madangog ninda ini, sararo sindang namibi sa Dios, “Kagurangnan, na Kaglalang kan langit, kan daga, kan dagat, asin kan gabos na yaon diyan,  25 nagtaram ka sa paagi kan ginikanan ming si David na sorogoon mo, sa pasabong kan Espiritu Santo: ‘Tadaw ta naanggot nin makuri an mga pagano?",Bikol
Tadaw ta nag-iisip an mga tawo nin daing kamugtakan na mga bagay?,Bikol
"26 Nagrebelde an mga hade kan kinaban, nagboronyog an saindang mga pamayo tumang sa Kagurangnan asin sa saiyang Cristo.’",Bikol
"27 Sa syudad na ini, si Herodes, si Poncio Pilato, an mga pagano sagkod an mga taga Israel nagtiripon tumang ki Jesus, an saimong banal na Sorogoon na saimong linahidan.",Bikol
28 Ginibo ninda an gabos na bagay na itinalaga mong mangyayari.,Bikol
"29 Ngunyan, Kagurangnan, hilinga an saindang mga pagpatakot.",Bikol
Pakosoga an boot kan saimong mga sorogoon sa paghulit kan saimong mga tataramon.,Bikol
"30 Unata an saimong kamot sa pagbolong, asin itugot mo sa ngaran kan saimong banal na Sorogoon na si Jesus na makagibo kami nin mga ngangalasan saka mga milagro.”",Bikol
"31 Pakatapos nindang mamibi, nayogyog an lugar na pinagtitiriponan ninda.",Bikol
"Napano sinda gabos kan Espiritu Santo, dangan makosog an boot na ipinahayag ninda an mensahe nin Dios.",Bikol
32 An gabos na paratubod nagkasararo sa isip asin sa puso.,Bikol
"Mayo nin nagsabi na an sadiri niya saiya sana, kundi an gabos na bagay sadiri kan gabos.",Bikol
"33 Sa dakulang kapangyarihan, nagsaksi an mga apostol sa pagkabuhay liwat kan Kagurangnan na Jesus, asin dakulang biyaya an itinao sainda nin Dios.",Bikol
"34 Mayo sainda nin nagkulang nin anoman, huli ta ipinabakal ninda an oma o harong, asin an kabaklan  35 itinao ninda sa mga apostol; dangan an lambang saro hinirasan sosog sa saiyang pangangaipo.",Bikol
"36 Iyo ini an ginibo ni Jose, na sarong Levitang taga Cipre, na inapod Bernabe kan mga apostol (na an boot sabihon, “Parapakosog nin Boot”).",Bikol
"37 Ipinabakal niya an sadiri niyang oma, saka itinao an kwarta sa mga apostol.",Bikol
1 Alagad igwa man na mag-agom na nagpabakal nin daga.,Bikol
"An ngaran kan lalaki Ananias, asin an babae, Safira.",Bikol
"2 Pakapabakalan ninda kan daga, tinago ni Ananias an ibang kwarta kan kabaklan; aram ini kan agom niya.",Bikol
An natada kan kabaklan itinao niya sa mga apostol.,Bikol
"3 Tinaraman siya ni Pedro, “Ananias, tadaw ta nagpadaog ka ki Satanas asin nagputik ka sa Espiritu Santo, ta tinago mo an ibang kwarta kan kabaklan kan daga mo?",Bikol
4 Bakong sadiri mo an daga bago mo iyan ipinabakal?,Bikol
Bakong sadiri mo an kabaklan kaiyan?,Bikol
Tadaw ta ginibo mo iyan?,Bikol
"Nagputik ka sa Dios, bakong sa tawo!”",Bikol
"5 Pakadangog kaini ni Ananias, natumba siya asin nagadan.",Bikol
Natakot nin makuri an gabos na nakadangog kan nangyaring ini.,Bikol
"6 Kinua kan mga hoben na lalaki an bangkay, pinatos saka binuligan paluwas dangan ilinubong.",Bikol
"7 Pakalihis nin mga tolong oras, uminabot an agom ni Ananias na mayo nin pakaaram kan nangyari.",Bikol
"8 Hinapot siya ni Pedro, “Iyo talaga ini an bilog na kabaklan kan saindong daga?”",Bikol
"“Iyo,” an simbag niya.",Bikol
"9 Dangan sinabihan siya ni Pedro, “Tadaw ta boot nindong baloon an Espiritu nin Kagurangnan?",Bikol
Yaon na ngunyan sa may pintoan an mga lalaking naglubong kan agom mo; sinda man an mabulig saimo!”,Bikol
10 Biglang natumba si Safira sa pamitisan ni Pedro asin nagadan.,Bikol
"Naglaog an mga hoben na lalaki; nahiling nindang gadan na siya, kaya binuligan ninda siya paluwas dangan ilinubong sa kataed kan saiyang agom.",Bikol
11 Natakot nin makuri an bilog na simbahan asin an gabos na nakadangog kan nangyaring ini.,Bikol
12 Kadakul na milagro saka ngangalasan an ginibo sa mga tawo kan mga apostol.,Bikol
An gabos na paratubod nagtiripon duman sa Balkon ni Solomon.,Bikol
"13 Mayo ni saro sa mga bakong paratubod an nangahas na makiiba sainda, maski iginagalang sinda kan mga tawo.",Bikol
"14 Orog na nagdakul pa an mga nagturubod sa Kagurangnan, mga lalaki asin mga babae.",Bikol
"15 Huli kaini, an mga naghehelang dinara sa mga tinampo asin ibinugtak sa mga higdaan saka banig tanganing pag-agi ni Pedro malindongan man lamang kan saiyang anino an iba sainda.",Bikol
"16 Nag-abot man an kadakul na tawo hale sa mga banwaan sa palibot kan Jerusalem, dara an mga naghehelang asin an mga may maraot na espiritu; naomayan sinda gabos.",Bikol
17 Naori nin makuri sa mga apostol an Halangkaw na Padi asin an mga kaayon kan grupo nin mga Saduceo.,Bikol
Nagkasararo sindang maghiro.,Bikol
18 Dinakop ninda an mga apostol saka ibinilanggo.,Bikol
"19 Alagad kan bangging idto, binuksan kan anghel nin Kagurangnan an pintoan kan bilanggoan, ilinuwas sinda dangan sinabihan,  20 ”Dumuman kamo sa Templo; ipahayag nindo sa mga tawo an gabos na bagay dapit sa bagong buhay na ini.”",Bikol
"21 Nagkuyog an mga apostol; pagkaagang amay, naglaog sinda sa Templo saka nagtukdo.",Bikol
"Nag-abot an Halangkaw na Padi saka an mga kairiba niya, dangan ipinaapod niya an gabos na kamagurangan na Judio para sa sarong pagtiripon kan Konseho.",Bikol
"Pakatapos, ipinakua ninda sa bilanggoan an mga apostol.",Bikol
"22 Alagad pag-abot kan mga opisyal duman, mayo na an mga apostol.",Bikol
"Kaya nagbalik sinda sa Konseho dangan nag-osip,  23 ”Naabotan mi na nakakandadohan an bilanggoan.",Bikol
"An gabos na bantay yaon man sa mga pintoan alagad kan bukasan mi na an pintoan, mayong tawo sa laog!”",Bikol
"24 Kan madangog ini kan kapitan kan mga bantay sa Templo asin kan mga poon na padi, nagkarilibong sinda kun ano an nangyari sa mga apostol.",Bikol
"25 Dangan igwang nag-abot na sarong lalaki na nagbareta sainda, “An mga lalaki na ibinilanggo nindo yaon duman sa laog kan Templo asin nagtutukdo sa mga tawo!”",Bikol
26 Kaya nagduman sa Templo an opisyal saka an mga tawohan niya; dinakop giraray ninda an mga apostol.,Bikol
"Alagad dai sinda naggamit nin kosog, huli ta natakot sinda na tibaad gapoon sinda kan mga tawo.",Bikol
"27 Dinara ninda an mga apostol, pinaatubang sa Konseho dangan sinabihan sinda kan Halangkaw na Padi,  28 ”Pinagbotan mi na kamo na dai magtukdo sa ngaran ni Jesus, alagad hilinga kun ano an saindong ginibo!",Bikol
Pinalakop nindo an saindong katukdoan sa bilog na Jerusalem asin boot nindong basolon kami kan saiyang pagkagadan!”,Bikol
"29 Nagsimbag si Pedro saka an mga apostol, “Kaipuhan kuyogon mi an Dios, bakong an tawo.",Bikol
"30 An Dios kan samong mga ginikanan, iyo an nagbuhay liwat ki Jesus na ginadan nindo kan ipako nindo siya sa krus.",Bikol
"31 Ilinangkaw siya nin Dios sa too niyang kamot bilang Lider asin Paraligtas, tanganing tawan an mga Israelita nin panahon na makapagbakle asin mapatawad an saindang mga kasalan.",Bikol
"32 Saksi kami sa mga bagay na ini—kami asin an Espiritu Santo, na itinao nin Dios sa gabos na nagkukuyog saiya.”",Bikol
"33 Kan madangog ini kan mga kaayon kan Konseho, naanggot sinda nin makuri asin boot nindang ipagadan an mga apostol.",Bikol
"34 Alagad nagtindog an saro sainda, si Gamaliel na sarong Fariseo saka paratukdo kan Katogonan na ginagalangan kan mga tawo.",Bikol
"Nagboot siya na iluwas ngona an mga apostol,  35 dangan sinabihan niya an Konseho, “Mga kahimanwa kong Israelita, mag-ingat kamo sa ginigibo nindo sa mga tawong ini.",Bikol
"36 Kaidto nag-abot si Teudas, na naghahambog na siya sarong bantog na tawo; nagsunod saiya an mga kwatro syentos na kalalakihan.",Bikol
Alagad nagadan siya asin an gabos niyang mga parasunod nagkawaragas saka nagkawarara.,Bikol
"37 Sunod saiya, nagtunga si Judas na taga Galilea kan panahon nin pagsenso.",Bikol
"Nagsunod man saiya an dakul na tawo, alagad nagadan man siya dangan an gabos niyang mga parasunod nagkawaragas.",Bikol
"38 Kaya sa nangyayaring ini ngunyan, sinasabihan ko kamo na dai kamo maggibo nin anoman tumang sa mga tawong ini.",Bikol
"Pabayaan nindo sinda, huli ta kun an plano o ginigibo nindang ini mukna nin tawo sana, mapapara iyan,  39 alagad kun iyan hale sa Dios, dai nanggad nindo sinda madadaog.",Bikol
Tibaad magluwas pa logod na kamo an nakikilaban sa Dios!”,Bikol
Kinuyog kan Konseho an hatol ni Gamaliel.,Bikol
"40 Ipinaapod ninda an mga apostol, ipinahampak saka pinatanidan na dai na nanggad magtaram sa ngaran ni Jesus.",Bikol
"Pakatapos, pinahale sinda.",Bikol
41 Naghale sa Konseho an mga apostol na pano nin kaogmahan huli ta pinapagkanigo sinda nin Dios na magtios nin kasopogan sa ngaran ni Jesus.,Bikol
"42 Aroaldaw sa Templo saka sa harong, dai sinda nag-ontok sa pagtukdo saka sa paghulit kan Marahay na Bareta dapit ki Jesus, an Cristo.",Bikol
